datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2023-12-26 00:42:06.230842+00:00,Last Access Time,FILE,File stat,NTFS:\Windows\WinSxS\wow64_microsoft-windows-ntasn1-dll_31bf3856ad364e35_10.0.22621.1_none_261e660cecf3acfc\ntasn1.dll Type: file,filestat,NTFS:\Windows\WinSxS\wow64_microsoft-windows-ntasn1-dll_31bf3856ad364e35_10.0.22621.1_none_261e660cecf3acfc\ntasn1.dll,-
2023-12-26 00:42:06.277773+00:00,Last Access Time,FILE,File stat,NTFS:\Windows\SysWOW64\ncryptsslp.dll Type: file,filestat,NTFS:\Windows\SysWOW64\ncryptsslp.dll,-
2023-12-26 00:42:06.277773+00:00,Last Access Time,FILE,File stat,NTFS:\Windows\WinSxS\wow64_microsoft-windows-ncryptsslp-dll_31bf3856ad364e35_10.0.22621.2506_none_a6a0eea254715d01\ncryptsslp.dll Type: file,filestat,NTFS:\Windows\WinSxS\wow64_microsoft-windows-ncryptsslp-dll_31bf3856ad364e35_10.0.22621.2506_none_a6a0eea254715d01\ncryptsslp.dll,-
2023-12-26 00:42:06.648001+00:00,Content Modification Time,EVT,WinEVTX,[4097 / 0x1001] Provider identifier: {5bbca4a8-b209-48dc-a8c7-b23d3e5216fb} Source Name: Microsoft-Windows-CAPI2 Strings: ['CN=DST Root CA X3  O=Digital Signature Trust Co.'  'DAC9024F54D8F6DF94935FB1732638CA6AD77C13'] Computer Name: WinDev2311Eval Record Number: 1439 Event Level: 4,winevtx,NTFS:\Windows\System32\winevt\Logs\Application.evtx,-
2023-12-26 00:42:06.648001+00:00,Creation Time,EVT,WinEVTX,[4097 / 0x1001] Provider identifier: {5bbca4a8-b209-48dc-a8c7-b23d3e5216fb} Source Name: Microsoft-Windows-CAPI2 Strings: ['CN=DST Root CA X3  O=Digital Signature Trust Co.'  'DAC9024F54D8F6DF94935FB1732638CA6AD77C13'] Computer Name: WinDev2311Eval Record Number: 1439 Event Level: 4,winevtx,NTFS:\Windows\System32\winevt\Logs\Application.evtx,-
2023-12-26 00:42:06.679112+00:00,Content Modification Time,REG,Registry Key,[HKEY_LOCAL_MACHINE\Software\Microsoft\SystemCertificates\AuthRoot\Certificates\DAC9024F54D8F6DF94935FB1732638CA6AD77C13] Blob: [REG_BINARY] (1240 bytes),winreg/winreg_default,NTFS:\Windows\System32\config\SOFTWARE,-
2023-12-26 00:42:06.679112+00:00,Content Modification Time,EVT,WinEVTX,[4097 / 0x1001] Provider identifier: {5bbca4a8-b209-48dc-a8c7-b23d3e5216fb} Source Name: Microsoft-Windows-CAPI2 Strings: ['CN=ISRG Root X1  O=Internet Security Research Group  C=US'  'CABD2A79A1076A31F21D253635CB039D4329A5E8'] Computer Name: WinDev2311Eval Record Number: 1440 Event Level: 4,winevtx,NTFS:\Windows\System32\winevt\Logs\Application.evtx,-
2023-12-26 00:42:06.679112+00:00,Creation Time,EVT,WinEVTX,[4097 / 0x1001] Provider identifier: {5bbca4a8-b209-48dc-a8c7-b23d3e5216fb} Source Name: Microsoft-Windows-CAPI2 Strings: ['CN=ISRG Root X1  O=Internet Security Research Group  C=US'  'CABD2A79A1076A31F21D253635CB039D4329A5E8'] Computer Name: WinDev2311Eval Record Number: 1440 Event Level: 4,winevtx,NTFS:\Windows\System32\winevt\Logs\Application.evtx,-
2023-12-26 00:42:06.758985+00:00,Metadata Modification Time,FILE,NTFS USN change,103621DE9CD5414CC2538780B4B75751 File reference: 244329-2 Parent file reference: 42881-3 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:42:06.758985+00:00,Metadata Modification Time,FILE,NTFS USN change,103621DE9CD5414CC2538780B4B75751 File reference: 244329-2 Parent file reference: 42881-3 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
