datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2023-12-26 00:39:21.306252+00:00,Metadata Modification Time,FILE,NTFS USN change,edb.chk File reference: 131843-5 Parent file reference: 1770-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:39:21.306252+00:00,Metadata Modification Time,FILE,NTFS USN change,qmgr.db File reference: 131845-5 Parent file reference: 1770-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:39:21.306252+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe Type: directory,filestat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe,-
2023-12-26 00:39:21.321921+00:00,Metadata Modification Time,FILE,NTFS USN change,edb.chk File reference: 131843-5 Parent file reference: 1770-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:39:21.338039+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe\AppData Type: directory,filestat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe\AppData,-
2023-12-26 00:39:21.354551+00:00,Metadata Modification Time,FILE,NTFS USN change,edb.chk File reference: 131843-5 Parent file reference: 1770-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:39:21.354551+00:00,Metadata Modification Time,FILE,NTFS USN change,qmgr.jfm File reference: 131844-5 Parent file reference: 1770-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:39:21.370838+00:00,Metadata Modification Time,FILE,NTFS USN change,edb.chk File reference: 131843-5 Parent file reference: 1770-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:39:21.370838+00:00,Metadata Modification Time,FILE,NTFS USN change,edb.log File reference: 131839-6 Parent file reference: 1770-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:39:21.513332+00:00,Metadata Modification Time,FILE,NTFS USN change,qmgr.db File reference: 131845-5 Parent file reference: 1770-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:39:21.763209+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe\LocalCache Type: directory,filestat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe\LocalCache,-
2023-12-26 00:39:21.811164+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe\RoamingState Type: directory,filestat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe\RoamingState,-
2023-12-26 00:39:21.859598+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe\LocalState Type: directory,filestat,NTFS:\Users\User\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe\LocalState,-
