datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2023-12-26 00:43:59.167428+00:00,Metadata Modification Time,FILE,NTFS USN change,install.tmp File reference: 1336-6 Parent file reference: 244418-2 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:43:59.229420+00:00,Metadata Modification Time,FILE,NTFS USN change,install.tmp File reference: 1336-6 Parent file reference: 244418-2 Update source:  Update reason: USN_REASON_FILE_DELETE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:43:59.245066+00:00,Metadata Modification Time,FILE,NTFS USN change,install.tmp File reference: 1336-7 Parent file reference: 244418-2 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:43:59.245066+00:00,Metadata Modification Time,FILE,NTFS USN change,install.tmp File reference: 1336-7 Parent file reference: 244418-2 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:43:59.245066+00:00,Metadata Modification Time,FILE,NTFS USN change,install.tmp File reference: 1336-7 Parent file reference: 244418-2 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_BASIC_INFO_CHANGE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:43:59.245066+00:00,Metadata Modification Time,FILE,NTFS USN change,install.tmp File reference: 1336-7 Parent file reference: 244418-2 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_BASIC_INFO_CHANGE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:43:59.245066+00:00,Metadata Modification Time,FILE,NTFS USN change,install.tmp File reference: 1336-7 Parent file reference: 244418-2 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:43:59.261075+00:00,Metadata Modification Time,FILE,NTFS USN change,liteFirewallW.dll File reference: 1287-10 Parent file reference: 244415-4 Update source:  Update reason: USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:43:59.317598+00:00,Content Modification Time,EVT,WinEVTX,[216 / 0x00d8] Provider identifier: {ba723d81-0d0c-4f1e-80c8-54740f508ddf} Source Name: Microsoft-Windows-AppxPackagingOM Strings: ['http://schemas.microsoft.com/developer/appx/2015/build'] Computer Name: WinDev2311Eval Record Number: 539 Event Level: 3,winevtx,NTFS:\Windows\System32\winevt\Logs\Microsoft-Windows-AppxPackaging%4Operational.evtx,-
2023-12-26 00:43:59.317598+00:00,Creation Time,EVT,WinEVTX,[216 / 0x00d8] Provider identifier: {ba723d81-0d0c-4f1e-80c8-54740f508ddf} Source Name: Microsoft-Windows-AppxPackagingOM Strings: ['http://schemas.microsoft.com/developer/appx/2015/build'] Computer Name: WinDev2311Eval Record Number: 539 Event Level: 3,winevtx,NTFS:\Windows\System32\winevt\Logs\Microsoft-Windows-AppxPackaging%4Operational.evtx,-
2023-12-26 00:43:59.323323+00:00,Content Modification Time,REG,Registry Key,[HKEY_CURRENT_USER\Software\Classes\Local Settings\MrtCache] (empty),winreg/winreg_default,NTFS:\Users\User\AppData\Local\Microsoft\Windows\UsrClass.dat,-
2023-12-26 00:43:59.339160+00:00,Metadata Modification Time,FILE,NTFS USN change,install.tmp File reference: 1336-7 Parent file reference: 244418-2 Update source:  Update reason: USN_REASON_FILE_DELETE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:43:59.339160+00:00,Content Modification Time,REG,Registry Key,[HKEY_CURRENT_USER\Software\Classes\Local Settings\MrtCache\C:%5CProgram Files%5CWindowsApps%5CMicrosoft.XboxGameOverlay_1.47.2385.0_x64__8wekyb3d8bbwe%5Cmicrosoft.system.package.metadata%5CS-1-5-21-2701124392-30314147-1419915659-1000-MergedResources-0.pri\1da17ec1b94ec20] (empty),winreg/winreg_default,NTFS:\Users\User\AppData\Local\Microsoft\Windows\UsrClass.dat,-
