datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2023-12-26 00:45:47.683739+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\DF0CDE23AA0F44779E78EFEDFBAED16DB1B4DF40 Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\DF0CDE23AA0F44779E78EFEDFBAED16DB1B4DF40,-
2023-12-26 00:45:47.683739+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\EA1E3132006CB34CB9058E6891C35B731B9C4D9B Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\EA1E3132006CB34CB9058E6891C35B731B9C4D9B,-
2023-12-26 00:45:47.690453+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\EDE675BC5BD66B9EEBD8A46A4C06CC47C388FD92 Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\EDE675BC5BD66B9EEBD8A46A4C06CC47C388FD92,-
2023-12-26 00:45:47.690453+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\F210D48319A1879FD1C5213FA010C613B99BA085 Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\F210D48319A1879FD1C5213FA010C613B99BA085,-
2023-12-26 00:45:47.713019+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\F8D5B76A1EF679D7E128B67E60239325BF22714D Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\F8D5B76A1EF679D7E128B67E60239325BF22714D,-
2023-12-26 00:45:47.724047+00:00,Metadata Modification Time,FILE,NTFS USN change,ce_T151c2VyQ29udGV4dElkPTUs File reference: 244349-4 Parent file reference: 244353-3 Update source:  Update reason: USN_REASON_FILE_DELETE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:47.724047+00:00,Metadata Modification Time,FILE,NTFS USN change,ce_T151c2VyQ29udGV4dElkPTUsYSw= File reference: 245012-3 Parent file reference: 244353-3 Update source:  Update reason: USN_REASON_FILE_DELETE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.610000+00:00,Last Access Time,WEBHIST,Firefox Cache,https://google.com/ (NID) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite,-
2023-12-26 00:45:48.610000+00:00,Last Access Time,WEBHIST,Firefox Cache,https://google.com/verify (SNID) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite,-
2023-12-26 00:45:48.610000+00:00,Last Access Time,WEBHIST,Firefox Cache,https://google.com/ (NID) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite-wal,-
2023-12-26 00:45:48.610000+00:00,Last Access Time,WEBHIST,Firefox Cache,https://google.com/verify (SNID) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite-wal,-
2023-12-26 00:45:48.610010+00:00,Creation Time,WEBHIST,Firefox Cache,https://google.com/verify (SNID) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite,-
2023-12-26 00:45:48.610010+00:00,Creation Time,WEBHIST,Firefox Cache,https://google.com/verify (SNID) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite-wal,-
2023-12-26 00:45:48.729532+00:00,Metadata Modification Time,FILE,NTFS USN change,AlternateServices.bin File reference: 245078-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.729532+00:00,Metadata Modification Time,FILE,NTFS USN change,AlternateServices.bin File reference: 245078-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.729532+00:00,Metadata Modification Time,FILE,NTFS USN change,AlternateServices.bin File reference: 245078-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.303074+00:00,Metadata Modification Time,FILE,NTFS USN change,events File reference: 245038-10 Parent file reference: 245036-1 Update source:  Update reason: USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.303074+00:00,Metadata Modification Time,FILE,NTFS USN change,events File reference: 245038-10 Parent file reference: 245036-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.349621+00:00,Metadata Modification Time,FILE,NTFS USN change,8540EC873F08CBAD5DF5121BD3BABF95624B4A14 File reference: 245112-1 Parent file reference: 244354-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.349621+00:00,Metadata Modification Time,FILE,NTFS USN change,8540EC873F08CBAD5DF5121BD3BABF95624B4A14 File reference: 245112-1 Parent file reference: 244354-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.349621+00:00,Content Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\8540EC873F08CBAD5DF5121BD3BABF95624B4A14 Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\8540EC873F08CBAD5DF5121BD3BABF95624B4A14,-
2023-12-26 00:45:48.349621+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\8540EC873F08CBAD5DF5121BD3BABF95624B4A14 Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\8540EC873F08CBAD5DF5121BD3BABF95624B4A14,-
2023-12-26 00:45:48.349621+00:00,Metadata Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\8540EC873F08CBAD5DF5121BD3BABF95624B4A14 Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\cache2\entries\8540EC873F08CBAD5DF5121BD3BABF95624B4A14,-
2023-12-26 00:45:48.373549+00:00,Metadata Modification Time,FILE,NTFS USN change,AlternateServices.bin File reference: 245078-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.373549+00:00,Metadata Modification Time,FILE,NTFS USN change,AlternateServices.bin File reference: 245078-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.402395+00:00,Metadata Modification Time,FILE,NTFS USN change,pageload File reference: 245185-1 Parent file reference: 245036-1 Update source:  Update reason: USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:48.402395+00:00,Metadata Modification Time,FILE,NTFS USN change,pageload File reference: 245185-1 Parent file reference: 245036-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
