datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2023-12-26 00:47:56.103198+00:00,Content Modification Time,REG,Registry Key,"[HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\IrisService\Cache\5245683082061478103] FirstExpiration: [REG_SZ] 2023-12-26T00:47:56Z IsSuccessStatusCode: [REG_DWORD_LE] 1 LastExpiration: [REG_SZ] 2023-12-26T00:47:56Z RawJson: [REG_SZ] {""batchrsp"":{""ver"":""1.0"" ""errors"":[{""code"":2040 ""msg"":""Demand source returns error (Name: GN_ps  Error: No eligible content.).""}]}} RefreshTime: [REG_SZ] 2023-12-27T00:47:56Z RequestUri: [REG_SZ] https://fd.api.iris.microsoft.com/v4/api/selection?&asid=945F09C220BE4992BA49867264AEEF82&nct=1&placement=88000448&bcnt=3&country=US&locale=en-US&poptin=0&fmt=json&clr=cdmlite&MX_FlightIds=MD%3A283BAEF%2CME%3A25762F0%2CME%3A27B9BC4%2CME%3A28279A6&arch=AMD64&chassis=-1&concp=0&d3dfl=D3D_FEATURE_LEVEL_12_1&devfam=Windows.Desktop&devosver=10.0.22621.2715&dinst=1703549730&dmret=0&flightbranch=&flightring=Retail&icluc=0&localid=w%3A573B4D35-F5F4-5CEA-F29F-643EF05188DD&osbranch=ni_release&oslocale=en-US&osret=1&ossku=EnterpriseEval&osskuid=72&prccn=4&prccs=2600&prcmf=GenuineIntel&procm=Intel%28R%29%20Core%28TM%29%20i5-4278U%20CPU%20%40%202.60GHz&ram=8191&tinst=Client&tl=1&usri=-2&pat=0&smc=0&sac=0&wflights=IX%3A12AA1312&disphorzres=1024&dispsize=13.3&dispvertres=768&ldisphorzres=1024&ldispvertres=768&moncnt=1&cpdsk=127469&frdsk=79600&lo=32&tsu=32&IDEAL_STATE=6 StatusCode: [REG_DWORD_LE] 200 UpdatedTime: [REG_SZ] 2023-12-26T00:47:56Z",winreg/winreg_default,NTFS:\Users\User\NTUSER.DAT,-
2023-12-26 00:47:56.103198+00:00,Content Modification Time,REG,Registry Key,[HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\IrisService\Cache] (empty),winreg/winreg_default,NTFS:\Users\User\NTUSER.DAT,-
2023-12-26 00:47:58.583934+00:00,Last Access Time,FILE,File stat,NTFS:\Windows\SystemResources\Windows.UI.SettingsAppThreshold\SystemSettings\Assets\Fonts\SettingsIcons.ttf Type: file,filestat,NTFS:\Windows\SystemResources\Windows.UI.SettingsAppThreshold\SystemSettings\Assets\Fonts\SettingsIcons.ttf,-
2023-12-26 00:47:58.583934+00:00,Last Access Time,FILE,File stat,NTFS:\Windows\WinSxS\amd64_microsoft-windows-i..ntrolpanel.appxmain_31bf3856ad364e35_10.0.22621.2506_none_fa98700012a74a79\SettingsIcons.ttf Type: file,filestat,NTFS:\Windows\WinSxS\amd64_microsoft-windows-i..ntrolpanel.appxmain_31bf3856ad364e35_10.0.22621.2506_none_fa98700012a74a79\SettingsIcons.ttf,-
2023-12-26 00:47:59.437270+00:00,Metadata Modification Time,FILE,NTFS USN change,startupCache.8.little File reference: 176840-3 Parent file reference: 244322-4 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:47:59.437270+00:00,Content Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\startupCache Type: directory,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\startupCache,-
2023-12-26 00:47:59.437270+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\startupCache Type: directory,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\startupCache,-
2023-12-26 00:47:59.437270+00:00,Metadata Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\startupCache Type: directory,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\startupCache,-
2023-12-26 00:47:59.437270+00:00,Creation Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\startupCache\startupCache.8.little Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\startupCache\startupCache.8.little,-
2023-12-26 00:47:59.458143+00:00,Metadata Modification Time,FILE,NTFS USN change,startupCache.8.little File reference: 176840-3 Parent file reference: 244322-4 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:47:59.784021+00:00,Metadata Modification Time,FILE,NTFS USN change,APPLICATIONFRAMEHOST.EXE-4CE44C83.pf File reference: 176837-2 Parent file reference: 76318-2 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_DATA_TRUNCATION,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:47:59.784021+00:00,Metadata Modification Time,FILE,NTFS USN change,APPLICATIONFRAMEHOST.EXE-4CE44C83.pf File reference: 176837-2 Parent file reference: 76318-2 Update source:  Update reason: USN_REASON_DATA_TRUNCATION,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:47:59.784021+00:00,Content Modification Time,FILE,File stat,NTFS:\Windows\Prefetch\APPLICATIONFRAMEHOST.EXE-4CE44C83.pf Type: file,filestat,NTFS:\Windows\Prefetch\APPLICATIONFRAMEHOST.EXE-4CE44C83.pf,-
2023-12-26 00:47:59.784021+00:00,Last Access Time,FILE,File stat,NTFS:\Windows\Prefetch\APPLICATIONFRAMEHOST.EXE-4CE44C83.pf Type: file,filestat,NTFS:\Windows\Prefetch\APPLICATIONFRAMEHOST.EXE-4CE44C83.pf,-
2023-12-26 00:47:59.784021+00:00,Metadata Modification Time,FILE,File stat,NTFS:\Windows\Prefetch\APPLICATIONFRAMEHOST.EXE-4CE44C83.pf Type: file,filestat,NTFS:\Windows\Prefetch\APPLICATIONFRAMEHOST.EXE-4CE44C83.pf,-
