datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2023-12-26 00:35:29.464392+00:00,Creation Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Code Cache\js\f234a622b81499ce_0 Type: file,filestat,NTFS:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Code Cache\js\f234a622b81499ce_0,-
2023-12-26 00:35:29.467019+00:00,Metadata Modification Time,FILE,NTFS USN change,Cookies-journal File reference: 133790-4 Parent file reference: 132117-3 Update source:  Update reason: USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:35:29.467019+00:00,Metadata Modification Time,FILE,NTFS USN change,f234a622b81499ce_0 File reference: 192529-3 Parent file reference: 132123-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:35:29.467019+00:00,Metadata Modification Time,FILE,NTFS USN change,f234a622b81499ce_0 File reference: 192529-3 Parent file reference: 132123-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:35:29.470886+00:00,Creation Time,WEBHIST,Chrome Cache,Original URL: https://img-s-msn-com.akamaized.net/tenant/amp/entityid/BBYyvk2?w=0&h=0&q=60&m=6&f=jpg&u=t,chrome_cache,NTFS:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\index,-
2023-12-26 00:35:29.486242+00:00,Metadata Modification Time,FILE,NTFS USN change,Reporting and NEL-journal File reference: 133834-3 Parent file reference: 132117-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:35:29.538572+00:00,Creation Time,WEBHIST,Chrome Cache,Original URL: https://edgeassetservice.azureedge.net/assets/edge_hub_apps_action_center_maximal_light.png/1.2.3/asset,chrome_cache,NTFS:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\index,-
2023-12-26 00:35:29.538647+00:00,Creation Time,WEBHIST,Chrome Cache,Original URL: https://edgeassetservice.azureedge.net/assets/edge_hub_apps_search_maximal_light.png/1.3.8/asset,chrome_cache,NTFS:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\index,-
2023-12-26 00:35:29.538704+00:00,Creation Time,WEBHIST,Chrome Cache,Original URL: https://edgeassetservice.azureedge.net/assets/edge_hub_apps_shopping_maximal_light.png/1.5.3/asset,chrome_cache,NTFS:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\index,-
2023-12-26 00:35:29.538876+00:00,Creation Time,WEBHIST,Chrome Cache,Original URL: https://edgeassetservice.azureedge.net/assets/edge_hub_apps_toolbox_maximal_light.png/1.5.15/asset,chrome_cache,NTFS:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\index,-
