datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2023-12-26 00:36:44.287262+00:00,Metadata Modification Time,FILE,NTFS USN change,bd63187c-08ad-4dc9-b797-be8b5d174062.tmp File reference: 163683-5 Parent file reference: 134161-4 Update source:  Update reason: USN_REASON_SECURITY_CHANGE  USN_REASON_RENAME_OLD_NAME  USN_REASON_BASIC_INFO_CHANGE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:36:44.288056+00:00,Last Access Time,FILE,File stat,NTFS:\ProgramData\Microsoft\EdgeUpdate\Log Type: directory,filestat,NTFS:\ProgramData\Microsoft\EdgeUpdate\Log,-
2023-12-26 00:36:44.298015+00:00,Metadata Modification Time,FILE,NTFS USN change,MicrosoftEdgeUpdate.log File reference: 130163-1 Parent file reference: 130162-1 Update source:  Update reason: USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:36:44.327611+00:00,Last Access Time,FILE,File stat,NTFS:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.181.5\msedgeupdateres_en.dll Type: file,filestat,NTFS:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.181.5\msedgeupdateres_en.dll,-
2023-12-26 00:36:44.419961+00:00,Last Access Time,FILE,File stat,NTFS:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.2822.0_x64__8wekyb3d8bbwe\Microsoft.Terminal.Control.dll Type: file,filestat,NTFS:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.2822.0_x64__8wekyb3d8bbwe\Microsoft.Terminal.Control.dll,-
2023-12-26 00:36:44.500898+00:00,Last Access Time,FILE,File stat,NTFS:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.8_8.2310.30001.0_x64__8wekyb3d8bbwe\Microsoft.UI.Xaml.dll Type: file,filestat,NTFS:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.8_8.2310.30001.0_x64__8wekyb3d8bbwe\Microsoft.UI.Xaml.dll,-
2023-12-26 00:36:44.548018+00:00,Last Access Time,FILE,File stat,NTFS:\Windows\SysWOW64\taskschd.dll Type: file,filestat,NTFS:\Windows\SysWOW64\taskschd.dll,-
2023-12-26 00:36:44.548018+00:00,Last Access Time,FILE,File stat,NTFS:\Windows\WinSxS\wow64_microsoft-windows-taskscheduler-client_31bf3856ad364e35_10.0.22621.1_none_afe4be1ac66ed3ca\taskschd.dll Type: file,filestat,NTFS:\Windows\WinSxS\wow64_microsoft-windows-taskscheduler-client_31bf3856ad364e35_10.0.22621.1_none_afe4be1ac66ed3ca\taskschd.dll,-
2023-12-26 00:36:44.563923+00:00,Metadata Modification Time,FILE,NTFS USN change,MICROSOFTEDGEUPDATE.EXE-30812F03.pf File reference: 133741-3 Parent file reference: 76318-2 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_DATA_TRUNCATION,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:36:44.563923+00:00,Metadata Modification Time,FILE,NTFS USN change,MICROSOFTEDGEUPDATE.EXE-30812F03.pf File reference: 133741-3 Parent file reference: 76318-2 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_DATA_TRUNCATION  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:36:44.563923+00:00,Metadata Modification Time,FILE,NTFS USN change,MICROSOFTEDGEUPDATE.EXE-30812F03.pf File reference: 133741-3 Parent file reference: 76318-2 Update source:  Update reason: USN_REASON_DATA_TRUNCATION,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:36:44.579170+00:00,Last Access Time,FILE,File stat,NTFS:\Windows\SysWOW64\winsta.dll Type: file,filestat,NTFS:\Windows\SysWOW64\winsta.dll,-
