datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2023-12-26 00:38:43.272984+00:00,Creation Time,FILE,File stat,NTFS:\ProgramData\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\S-1-5-21-2701124392-30314147-1419915659-1000\SystemAppData Type: directory,filestat,NTFS:\ProgramData\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\S-1-5-21-2701124392-30314147-1419915659-1000\SystemAppData,-
2023-12-26 00:38:43.272984+00:00,Last Access Time,FILE,File stat,NTFS:\ProgramData\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\S-1-5-21-2701124392-30314147-1419915659-1000\SystemAppData Type: directory,filestat,NTFS:\ProgramData\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\S-1-5-21-2701124392-30314147-1419915659-1000\SystemAppData,-
2023-12-26 00:38:43.272984+00:00,Metadata Modification Time,FILE,File stat,NTFS:\ProgramData\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\S-1-5-21-2701124392-30314147-1419915659-1000\SystemAppData Type: directory,filestat,NTFS:\ProgramData\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\S-1-5-21-2701124392-30314147-1419915659-1000\SystemAppData,-
2023-12-26 00:38:43.278348+00:00,Metadata Modification Time,FILE,NTFS USN change,SystemAppData File reference: 244178-2 Parent file reference: 244177-2 Update source:  Update reason: USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:38:43.279096+00:00,Metadata Modification Time,FILE,NTFS USN change,settings.dat File reference: 244179-3 Parent file reference: 244172-3 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:38:43.279096+00:00,Creation Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\Settings\settings.dat Type: file,filestat,NTFS:\Users\User\AppData\Local\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\Settings\settings.dat,-
2023-12-26 00:38:43.279771+00:00,Metadata Modification Time,FILE,NTFS USN change,settings.dat File reference: 244179-3 Parent file reference: 244172-3 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_SECURITY_CHANGE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:38:43.279771+00:00,Metadata Modification Time,FILE,NTFS USN change,settings.dat File reference: 244179-3 Parent file reference: 244172-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_SECURITY_CHANGE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:38:43.279771+00:00,Metadata Modification Time,FILE,NTFS USN change,settings.dat File reference: 244179-3 Parent file reference: 244172-3 Update source:  Update reason: USN_REASON_FILE_CREATE  USN_REASON_SECURITY_CHANGE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:38:43.279771+00:00,Last Access Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\Settings\settings.dat Type: file,filestat,NTFS:\Users\User\AppData\Local\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\Settings\settings.dat,-
